Name,Quantity,Price,Source
1.28 inch TFT Screen Display Module,1,$5.52,https://www.aliexpress.com/item/1005004786844308.html?spm=a2g0o.productlist.main.19.42fe4a9ezJDpMl&algo_pvid=06a795a6-b512-48c5-9b3f-ee664e30b67f&algo_exp_id=06a795a6-b512-48c5-9b3f-ee664e30b67f-15&pdp_ext_f=%7B%22order%22%3A%22929%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.26%210.19%21%21%210.26%210.19%21%4021010c9a17769042443944783ea088%2112000044431992563%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=YJ37j8JtmxFP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004786844308%7C_p_origin_prod%3A
Cavity enclosed speaker,1,$1.90,https://www.aliexpress.com/item/1005005699882165.html?spm=a2g0o.productlist.similar_items.14.74e23cc0pYyEmU&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A1005005699882165%7C_p_origin_prod%3A&algo_pvid=49416398-8fae-430c-9bc4-83187698d42a&algo_exp_id=49416398-8fae-430c-9bc4-83187698d42a&pdp_ext_f=%7B%22order%22%3A%221138%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.91%211.91%21%21%2112.96%2112.96%21%400b1bf20a17769384377507625ef9af%2112000034049281326%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895
Seeed Studio XIAO ESP32S3 Sense,1,$15.18,https://www.aliexpress.com/item/1005005544221475.html?spm=a2g0o.productlist.main.3.703853ab8tmIkA&algo_pvid=a63cdae6-b815-404d-bc59-b016d9e53b92&algo_exp_id=a63cdae6-b815-404d-bc59-b016d9e53b92-14&pdp_ext_f=%7B%22order%22%3A%22679%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.74%2113.68%21%21%2118.74%2113.68%21%4021010c9a17769390054652752eded3%2112000047978847658%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895&curPageLogUid=DDIqOHvkDfCH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005544221475%7C_p_origin_prod%3A
3.7V 1500mAh Lipo Battery 103048,1,$2.46,https://www.aliexpress.com/item/1005008218024646.html?spm=a2g0o.order_list.order_list_main.20.66d01802KQ5cHh#nav-description
DC motor,1,$0.64,https://www.aliexpress.com/item/1005008716188100.html?spm=a2g0o.productlist.main.6.741853eaNvnv0w&algo_pvid=b40e2f50-10e8-43dd-b01b-314774e7d5db&algo_exp_id=b40e2f50-10e8-43dd-b01b-314774e7d5db-40&pdp_ext_f=%7B%22order%22%3A%221257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.42%210.64%21%21%211.42%210.64%21%4021010c9a17804665805663369ecc76%2112000046365337791%21sea%21MY%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7a38ab92%3Bm03_new_user%3A-29895&curPageLogUid=BHzSAqy2RoTI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008716188100%7C_p_origin_prod%3A
M3 14mm Screws,1,$1.26,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.order_list.order_list_main.40.15821802o8oPo7
M3 OD4.2 L 4 Heatset inserts,1,$1.05,https://www.aliexpress.com/item/1005007659182107.html?spm=a2g0o.order_list.order_list_main.25.15821802o8oPo7
Total,,$28.01,
